x,y,nom
653483.51805578766,6860483.7365186792,Gare d'Austerlitz
652639.0850583592,6860888.798170533,Jussieu
652394.48278029216,6860941.227324646,Cardinal Lemoine
652143.28458085132,6861332.0395875908,Maubert - Mutualité
651795.17445999873,6861461.6801628936,Cluny - La Sorbonne
651576.61507027096,6861546.714855615,Odéon
651258.26880712446,6861649.9306993876,Mabillon
650586.42343207379,6861491.4341363329,Sèvres - Babylone
650156.86989707581,6861170.9253277192,Vaneau
649850.52384843619,6860976.6319858413,Duroc
649077.45837981196,6861110.3282129718,Ségur
648542.86459590099,6861201.4476303784,La Motte-Picquet - Grenelle
648287.14779129426,6861010.8227165388,Avenue Émile-Zola
647580.77537785925,6860970.7260337733,Charles Michels
646955.65667551942,6860923.2055035736,Javel - André Citroën
646658.37196687399,6861071.793774223,Mirabeau
646159.18967327243,6860816.3676829636,Chardon-Lagache
645818.954038925,6860833.7374799689,Michel-Ange - Molitor
644117.76274496247,6860486.3736644359,Boulogne - Jean Jaurès
643363.33066330804,6860364.48078031,Boulogne - Pont de Saint-Cloud
