x,y,nom
659029.6818790813,6862643.9597150171,Mairie de Montreuil
658641.48532963195,6862153.8792591207,Croix de Chavaux
657654.96197794599,6861905.2750828573,Robespierre
656751.78648209479,6861670.6509585399,Porte de Montreuil
656417.14638924494,6861579.0914705582,Maraîchers
656068.69972542732,6861483.4541462464,Buzenval
655579.97158937808,6861072.5420940425,Nation
655200.71440585051,6861528.7679012259,Rue des Boulets
654906.66933385585,6861804.8816437647,Charonne
654501.31073488749,6862192.8536003735,Voltaire
654140.30750023853,6862506.7599600637,Saint-Ambroise
653780.32707348466,6862827.9515032507,Oberkampf
653371.19810316036,6863271.8017090103,République
652625.49119331758,6863454.5674974071,Strasbourg – Saint-Denis
652117.11851445853,6863618.2822431242,Bonne-Nouvelle
651801.97499122773,6863701.8042456117,Grands Boulevards
651554.421837445,6863759.3764016563,Richelieu - Drouot
651083.48351376702,6863875.4649770269,Chaussée d'Antin – La Fayette
650721.47597260668,6863942.2029278735,Havre - Caumartin
650150.04880994477,6864074.8601960745,Saint-Augustin
649788.28019263293,6863982.7026503179,Miromesnil
649377.05423106358,6863836.0341958599,Saint-Philippe du Roule
649339.08654997509,6863442.8362572342,Franklin D.Roosevelt
648723.58585547865,6862960.5393166905,Alma - Marceau
648194.12773316354,6862987.9368953658,Iéna
647703.05489929288,6862813.5887076259,Trocadéro
646980.00418847613,6862911.3240200216,Rue de la Pompe
646734.60589056113,6862254.2295005554,La Muette
646441.09606300737,6861971.7689966382,Ranelagh
646286.92763768614,6861640.8561304752,Jasmin
645988.04640925699,6861139.2978951894,Michel-Ange - Auteuil
645818.954038925,6860833.7374799689,Michel-Ange - Molitor
645690.12687883177,6860593.8383957045,Exelmans
645466.34954666055,6860054.770750463,Porte de Saint-Cloud
644481.45698969741,6859578.4359692037,Marcel Sembat
644066.97463002556,6859377.9224729631,Billancourt
643575.19919910282,6859149.8265780173,Pont de Sèvres
