x,y,nom
657228.1967118493,6862925.8833670011,Gallieni
656583.34037555614,6862889.7247814862,Porte de Bagnolet
655739.65689761785,6862943.8161151139,Gambetta
655055.46190357557,6862732.1394802313,Père Lachaise
654460.22695126582,6862886.3855164014,Rue Saint-Maur
654123.64241712599,6862987.0691209845,Parmentier
653371.19810316036,6863271.8017090103,République
653125.88503740879,6863145.1921397801,Temple
652757.70901190571,6863022.9238478392,Arts et Métiers
652486.96986730583,6863112.3100695834,Réaumur - Sébastopol
652007.29844578251,6863271.181746345,Sentier
651636.41394724289,6863400.0586830312,Bourse
651273.04657655,6863503.3440343225,Quatre-Septembre 	
651024.91324405232,6863590.7081939774,Opéra
650721.47597260668,6863942.2029278735,Havre - Caumartin
650599.59451122314,6864180.6187141025,Saint-Lazare
650352.02415503666,6864534.4758732542,Europe
649843.496058119,6864808.7565773511,Villiers
649333.43682626472,6865003.6995322071,Malesherbes
648943.12172406085,6865111.7763408674,Wagram
648520.46190850961,6865208.7146807816,Pereire
648099.55737276003,6865301.3615277661,Porte de Champerret
647775.59295637102,6865669.7224096321,Louise Michel
647566.31605461787,6866029.2139270054,Anatole France
647167.25888957689,6866697.8962923093,Pont de Levallois - Bécon
