x,y,nom
650521.6376870526,6856983.7040507169,Mairie de Montrouge
650455.45950976701,6858344.3452669559,Porte d'Orléans
650558.5111798388,6858868.6214923114,Alésia
650779.14510127006,6859216.4422370223,Mouton-Duvernet
650956.95646545675,6859565.540603104,Denfert-Rochereau
650878.68490348884,6860073.8668800956,Raspail
650778.34802721511,6860435.6539930198,Vavin
650381.74254487036,6860624.1965028401,Montparnasse – Bienvenüe
650587.11669344502,6860977.7804348757,Saint-Placide
650907.93777741084,6861491.7732173381,Saint-Sulpice
651060.03313375462,6861731.371642679,Saint-Germain-des-Prés
651576.61507027096,6861546.714855615,Odéon
651853.44447657117,6861707.5164058246,Saint-Michel
652119.66669802205,6861917.9498208044,Cité
652106.57377480005,6862267.4236089643,Châtelet
652089.37112575967,6862718.8950906806,Les Halles
652242.15382274042,6862841.6069340082,Étienne Marcel
652486.96986730583,6863112.3100695834,Réaumur - Sébastopol
652625.49119331758,6863454.5674974071,Strasbourg – Saint-Denis
652746.89497942908,6863781.7767677717,Château d'Eau
652916.570871979,6864216.4833609732,Gare de l'Est
652665.86413332773,6864640.7558319205,Gare du Nord
652275.62206899817,6865057.4095478309,Barbès - Rochechouart
652289.27825190383,6865463.3752416773,Château Rouge
652299.64919919346,6865871.6890758425,Marcadet – Poissonniers
652143.40026024845,6866223.4221691275,Simplon
651931.7963490925,6866616.3803935498,Porte de Clignancourt
