x,y,nom
657225.66857144935,6864603.4697929155,Mairie des Lilas
656471.89671362855,6864291.1366901388,Porte des Lilas
655925.43339199596,6864113.7658045003,Télégraphe
655460.77235007205,6864254.0275356248,Place des Fêtes
655225.27402932756,6864100.0525794365,Jourdain
654913.61748113146,6863945.773509468,Pyrénées
654295.49348585901,6863755.5848529814,Belleville
653865.35081719712,6863519.0692380806,Goncourt
653371.19810316036,6863271.8017090103,République
652757.70901190571,6863022.9238478392,Arts et Métiers
652554.2628559781,6862548.8058213759,Rambuteau
652409.82624353096,6862136.7377633769,Hôtel de Ville
652106.57377480005,6862267.4236089643,Châtelet
