x,y,nom
654279.47287823213,6867640.3044651709,Saint-Denis - Aubervilliers
653005.68522208231,6866619.9653278124,Porte de la Chapelle
653059.68687228765,6865819.668883713,Marx Dormoy
652299.64919919346,6865871.6890758425,Marcadet – Poissonniers
651946.14253946801,6866029.9543766379,Jules Joffrin
651495.68924518209,6865752.6318900548,Lamarck - Caulaincourt
651474.92142122774,6865136.3624379132,Abbesses
651396.06772534945,6864911.6553487871,Pigalle
651406.03999249497,6864480.8107993184,Saint-Georges
651506.15696572489,6864202.9394516926,Notre-Dame-de-Lorette
651025.00647812069,6864268.9890027232,Trinité - d'Estienne d'Orves
650599.59451122314,6864180.6187141025,Saint-Lazare
650469.98698678834,6863488.0062762927,Madeleine
650241.20648370974,6863156.6601053579,Concorde
650128.00479176256,6862585.4695258951,Assemblée nationale
650297.9461238581,6862304.6329548564,Solférino
650504.54729704547,6861994.2545264969,Rue du Bac
650586.42343207379,6861491.4341363329,Sèvres - Babylone
650662.72119347914,6861114.1549457405,Rennes
650721.62641735002,6860797.692146278,Notre-Dame-des-Champs
650381.74254487036,6860624.1965028401,Montparnasse – Bienvenüe
649914.94421993208,6860710.629803787,Falguière
649545.16458347021,6860542.3822933314,Pasteur
649196.93937189446,6860387.4499419993,Volontaires
648697.45457204571,6860174.4653297579,Vaugirard
648350.66395464877,6859921.1962182093,Convention
647709.08370083629,6859373.9706969736,Porte de Versailles
647057.71929722116,6858797.6741803838,Corentin Celton
646601.24611598661,6858472.4448937187,Mairie d'Issy
