x,y,nom
657904.10477652773,6866332.634024444,Bobigny Pantin Raymond  Queneau
657005.7267187133,6866092.8852346977,Eglise de Pantin
656197.67439211113,6865865.2860887153,Hoche
655455.57464558177,6865593.9301799079,Porte de Pantin
655030.06203162915,6865415.2365388237,Ourcq
654493.0530931789,6865197.8346332619,Laumiere
653810.21141801239,6864810.8281589439,Jaures
653518.85455865064,6865108.3910910534,Stalingrad
652665.86413332773,6864640.7558319205,Gare du Nord
652916.570871979,6864216.4833609732,Gare de l'Est
653114.72509807348,6863633.0452931421,Jaques Bonsergent
653371.19810316036,6863271.8017090103,Republique
653780.32707348466,6862827.9515032507,Oberkampf
653968.04783052998,6862442.8846397204,Richard Lenoir
653823.75327585905,6862040.6758277789,Breguet Sabin
653736.6976126855,6861525.4459339473,Bastille
653446.98433424905,6860926.9804374874,Quai de la Rapée
653483.51805578766,6860483.7365186792,Gare d'Austerlitz
653093.56929867389,6860059.1427633082,Saint Marcel
652898.01594277576,6859697.5833831076,Campo-Formio
652632.44273787155,6859283.9749871073,Place d'Italie

