x,y,nom
653372.60951929679,6871973.6504635438,Saint-Denis - Université
653024.74465294555,6870978.7030473538,Basilique de Saint-Denis
652838.11868264154,6870172.2960881945,Saint-Denis - Porte de Paris
651926.68259902403,6869109.3219473297,Carrefour Pleyel
651163.99636665615,6868205.6505416976,Mairie de Saint-Ouen
651024.58739838307,6867595.600964318,Garibaldi
650805.75569795188,6866618.9048659522,Porte de Saint-Ouen
650681.44751011766,6866105.7125889715,Guy Môquet
650537.65464204433,6865491.1324115554,La Fourche
650653.65470410686,6865053.046286623,Place de Clichy
650632.92356654443,6864618.5423900625,Liège
650599.59451122314,6864180.6187141025,Saint-Lazare
649788.28331354866,6863982.6932591526,Miromesnil
649665.03230663179,6863283.1814085934,Champs-Élysées Clemenceau
649692.54415335879,6862649.2123832302,Invalides
649733.64087209257,6862024.4840924852,Varenne
649680.30282629817,6861455.8997297157,Saint-François-Xavier
649850.52384843619,6860976.6319858413,Duroc
650381.74254487036,6860624.1965028401,Montparnasse – Bienvenüe
650257.4547895327,6860073.2177018067,Gaîté
649938.68261269655,6859546.7887836406,Pernety
649638.7544105039,6859309.5153591661,Plaisance
648944.44467058533,6858856.6926355306,Porte de Vanves
648490.31969696959,6858282.7986885654,Malakoff - Plateau de Vanves
648355.13765547797,6857490.1738964822,Malakoff - Rue Étienne-Dolet
648695.73734289804,6856963.0649242215,Châtillon - Montrouge
