x,y,nom
660639.40563949896,6852243.0705354204,Pointe du Lac
660270.46850769431,6853457.1798655763,Créteil - Préfecture
659619.74656390643,6854586.1521205502,Créteil - Université
659535.78791738127,6855319.4456314193,Créteil - L'Échat
659228.41939293814,6856097.2022736669,Maisons-Alfort - Les Juilliottes 	
658392.69109307032,6856783.9724264722,Maisons-Alfort - Stade
657435.21746394737,6857425.2634253912,École vétérinaire de Maisons-Alfort
656984.83613917406,6858075.729928528,Charenton - Écoles
656456.81471799291,6858593.2362153213,Liberté
655839.64367369108,6859280.2177728852,Porte de Charenton
656433.86871219496,6859676.1354851834,Porte Dorée
656113.64146886347,6859856.9416835951,Michel Bizot
655651.82547958032,6860117.7544598952,Daumesnil
655249.06262132362,6860641.286220503,Montgallet
654995.58586649795,6860992.2972291177,Reuilly - Diderot
654818.42317955208,6861305.0500159254,Faidherbe - Chaligny
654216.36266646907,6861433.6784192715,Ledru-Rollin
653736.6976126855,6861525.4459339473,Bastille
653627.89076144889,6862143.8235025173,Chemin Vert
653567.590047576,6862545.2932539955,Saint-Sébastien - Froissart
653534.56493534939,6862752.2957272464,Filles du Calvaire
653371.19810316036,6863271.8017090103,République
652625.49119331758,6863454.5674974071,Strasbourg – Saint-Denis
652117.11851445853,6863618.2822431242,Bonne-Nouvelle
651801.97499122773,6863701.8042456117,Grands Boulevards
651554.421837445,6863759.3764016563,Richelieu - Drouot
651024.91099276149,6863590.708905953,Opéra
650469.98698678834,6863488.0062762927,Madeleine
650241.21685310337,6863156.6749483757,Concorde
649692.54415335879,6862649.2123832302,Invalides
649422.33777938038,6862202.8183020744,La Tour-Maubourg
649043.81004221411,6861827.2476120591,École Militaire
648542.86459590099,6861201.4476303784,La Motte-Picquet - Grenelle
648175.01997061807,6860763.2344953166,Commerce
648036.25699089863,6860539.953531987,Félix Faure
647725.28956856148,6860354.1293547116,Boucicaut
647331.36301302153,6860131.9944745526,Lourmel
647000.08944032504,6859776.232846953,Balard
