x,y,nom
655579.97158937808,6861072.5420940425,Nation
655851.98645366519,6861427.5605456736,Avron
655561.36563895852,6862009.3051803866,Alexandre Dumas
655216.17631897505,6862230.0421851305,Philippe Auguste
655055.46190357557,6862732.1394802313,Père Lachaise
654748.87504841608,6863175.4326589247,Ménilmontant
654572.99625280977,6863408.847316,Couronnes
654295.48375283135,6863755.5800613072,Belleville
653844.22229918442,6864370.8374293037,Colonel Fabien
653810.21141801239,6864810.8281589439,Jaurès
653518.85455865064,6865108.3910910534,Stalingrad
653076.96087893983,6865128.7042611213,La Chapelle
652275.62206899817,6865057.4095478309,Barbès - Rochechouart
651889.94939617056,6864963.8706427831,Anvers
651396.06772534945,6864911.6553487871,Pigalle
651041.09172816342,6865079.9087539176,Blanche
650653.65470410686,6865053.046286623,Place de Clichy
650214.60986575065,6864912.9200445497,Rome
649843.496058119,6864808.7565773511,Villiers
649306.9235705249,6864726.4234992936,Monceau
648886.84853268811,6864575.8151094643,Courcelles
648514.5825624126,6864472.2750031007,Ternes
648374.90444275946,6864016.4947983902,Charles de Gaulle-Étoile
647583.59458882292,6863565.5369922658,Victor Hugo
646922.49673291144,6863746.8325002482,Porte Dauphine
