x,y,nom
655579.97158937808,6861072.5420940425,Nation
656081.9670912798,6860727.3236181121,Picpus
656026.38305402908,6860319.0030701887,Bel-Air
655651.82547958032,6860117.7544598952,Daumesnil
655233.1257869798,6860072.5411459515,Dugommier
654426.36849777855,6860234.4974802751,Bercy
653961.65451331937,6859852.967070044,Quai de la Gare
653606.85128822317,6859623.9615952019,Chevaleret
653220.8436732624,6859435.2742084917,Nationale
652632.44273787155,6859283.9749871073,Place d'Italie
652295.76125981577,6859064.2517568581,Corvisart
651793.85090327135,6859216.4911398636,Glacière
651335.25000712811,6859414.381362021,Saint-Jacques
650956.95646545675,6859565.540603104,Denfert-Rochereau
650878.68490348884,6860073.8668800956,Raspail
650474.11636452144,6860318.5182376727,Edgar Quinet
650381.74254487036,6860624.1965028401,Montparnasse – Bienvenüe
649545.16458347021,6860542.3822933314,Pasteur
649319.2217486453,6860846.7600941667,Sèvres - Lecourbe
648838.05962349032,6861060.7940864675,Cambronne
648542.86459590099,6861201.4476303784,La Motte-Picquet - Grenelle
648151.06504984421,6861392.8143294156,Dupleix
647836.90350672719,6861793.1237913491,Bir-Hakeim
647588.19019945606,6862179.8532254808,Passy
647703.05489929288,6862813.5887076259,Trocadéro
647897.70790246758,6863214.2973460434,Boissière
648141.67388436024,6863709.8019577097,Kléber
648374.90444275946,6864016.4947983902,Charles de Gaulle-Étoile

