x,y,nom
654717.2355016456,6856968.7124707131,Mairie d'Ivry
654264.89492241619,6857505.0950720077,Pierre et Marie Curie
653670.50738307461,6858118.8957851892,Porte d'Ivry
653356.70685617137,6857968.9038241403,Porte de Choisy
652946.87813448359,6857883.9777292609,Porte d'Italie
652890.57842245698,6858164.9963430036,Maison Blanche
652790.98599995393,6858654.535768318,Tolbiac
652632.44273787155,6859283.9749871073,Place d'Italie
652462.62586884852,6859737.9649404697,Les Gobelins
652395.32331707038,6860200.9980775081,Censier – Daubenton
652443.33540931845,6860512.0530276131,Place Monge
652639.0850583592,6860888.798170533,Jussieu
653205.46065046836,6861440.0354654044,Sully – Morland
652873.88837372593,6861719.7320341254,Pont Marie
652106.57377480005,6862267.4236089643,Châtelet
651750.08118386497,6862266.1682932992,Pont Neuf
651322.74892707134,6862678.4942989908,Palais Royal – Musée du Louvre
651147.72663809173,6863114.235650124,Pyramides
651024.91324405232,6863590.7081939774,Opéra
651083.48351376702,6863875.4649770269,Chaussée d'Antin – La Fayette
651577.92013610364,6864077.4450199073,Le Peletier
651912.52948926738,6864206.4695237027,Cadet
652261.0953778954,6864340.2498135576,Poissonnière
652916.570871979,6864216.4833609732,Gare de l'Est
653222.76282457006,6864527.5737400865,Château-Landon
653466.21474947338,6864805.6641298691,Louis Blanc
653518.85455865064,6865108.3910910534,Stalingrad
654094.00345854065,6865574.1442756755,Riquet
654296.20806287404,6865814.7272301018,Crimée
654715.6341530208,6866290.081661582,Corentin Cariou
655011.91118154232,6866674.4774163608,Porte de la Villette
655823.17115778546,6867794.8129143361,Aubervilliers – Pantin – Quatre Chemins
656322.86600997217,6868481.842953844,Fort d'Aubervilliers
656806.32320841367,6869153.295461949,La Courneuve – 8 Mai 1945
